ID,Função/Área,Setor,Interesses (2 a 3),Estágio da Org.,Desafio Atual (Aberto),Opt-in Networking?,Interesse em Palestras (Múltipla Escolha),T1,T2,T3
141,Operations,Financial Services,Operations; Workflow Redesign,Piloting,"""Otimizar e reduzir os processos manuais no backoffice de cartões de crédito.""",Sim,O Futuro das Operações,4,3,4
142,Talent Acquisition,Professional Services,People/Talent; Agents,Piloting,"""Filtragem de candidatos para entrevistas diretas com sócios em consultorias de alta gestão.""",Sim,O Futuro das Operações,4,null,3
143,People/HR,Industrial/Manufacturing,People/Talent; Governance/Risk,Exploring,"""Mitigar vieses na contratação de profissionais para o chão de fábrica.""",Não,Não tenho nenhum interesse em particular,2,1,4
144,Marketing/Sales,Financial Services,Growth/Commercial; Data/Tech,Scaling,"""Recomendações e cross-sell de seguros baseados na modelagem de comportamento bancário.""",Sim,A Reinvenção do Comércio,4,4,3
145,Technology/Data,Mobilidade Urbana,Operations; Scaling/Value,Embedded/ Transforming,"""Garantir alta disponibilidade e baixa latência na emissão de tickets e QR codes de trens e metrôs.""",Sim,O Futuro das Operações,null,4,5
146,Risk/Legal,Energy,Governance/Risk; Workflow Redesign,Piloting,"""Monitoramento regulatório global para transição de matrizes energéticas limpas.""",Sim,O Futuro das Operações,2,1,5
147,Strategy,Healthcare,Strategy; Scaling/Value,Scaling,"""Modelagem estratégica para expansão da telemedicina em regiões remotas do país.""",Sim,O Futuro das Operações,4,3,3
148,Finance,Technology,Data/Tech; Agents,Exploring,"""Agentes visuais para leitura e aprovação de recibos de reembolso corporativo.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,3
149,Estrategista de Informação,Mídia e Dados,Data/Tech; Scaling/Value,Piloting,"""Consolidar newsletters matinais e resumos de mercado financeiro global em dashboards executivos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,4,null
150,Operations,Consumer/Retail,Operations; Workflow Redesign,Embedded/ Transforming,"""Gestão de estoque totalmente autônoma em armazéns de alta densidade no varejo.""",Sim,A Reinvenção do Comércio,5,5,2
151,Engenharia Civil,Industrial/Manufacturing,Operations; Scaling/Value,Piloting,"""Otimizar o fluxo de materiais e reduzir atrasos em cronogramas de obras de infraestrutura.""",Sim,O Futuro das Operações,4,2,3
152,Finance,Financial Services,Data/Tech; Workflow Redesign,Scaling,"""Automatizar testes online e triagem de talentos para vagas de estágio no mercado financeiro.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,3,4
153,Operations,Consumer/Retail,Operations; Scaling/Value,Embedded/ Transforming,"""Previsão de demanda em tempo real para otimizar distribuição no varejo.""",Sim,A Reinvenção do Comércio,3,null,4
154,Business Consultant,Professional Services,Strategy; People/Talent,Exploring,"""Aplicar IA na estruturação de frameworks para resolução de problemas em casos de negócios.""",Sim,O Futuro das Operações,5,4,2
155,Risk/Legal,Healthcare,Governance/Risk; Data/Tech,Piloting,"""Auditoria automática de conformidade em prontuários eletrônicos.""",Não,Não tenho nenhum interesse em particular,2,1,null
156,Technology/Data,Technology,Agents; Scaling/Value,Scaling,"""Gerenciar infraestrutura na nuvem para modelos de IA de alta capacidade.""",Sim,O Futuro das Operações,4,5,2
157,People/HR,Financial Services,People/Talent; Workflow Redesign,Exploring,"""Criar simulações de entrevistas com sócios usando avatares de IA para preparação.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,3
158,Technology/Data,Mobilidade Urbana (São Paulo),Data/Tech; Operations,Embedded/ Transforming,"""Processamento em milissegundos de passagens via QR Code no sistema de trens e metrô.""",Sim,O Futuro das Operações,4,3,5
159,Strategy,Energy,Growth/Commercial; Scaling/Value,Piloting,"""Modelagem de novos modelos de negócios corporativos para transição energética.""",Sim,O Futuro das Operações,4,null,3
160,Marketing/Sales,Consumer/Retail,Growth/Commercial; Agents,Scaling,"""Escalar atendimento e suporte em e-commerce utilizando agentes conversacionais.""",Sim,A Reinvenção do Comércio,3,4,2
161,Finance,Modelagem Financeira,Data/Tech; Scaling/Value,Piloting,"""Extração automatizada de guias e balanços para alimentar modelos financeiros de valuation.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,5,3,null
162,Organizador de Eventos,Feiras de Recrutamento,Workflow Redesign; People/Talent,Exploring,"""Otimizar o fluxo de participantes em workshops integrativos de contratação.""",Sim,O Futuro das Operações,4,2,3
163,Operations,Industrial/Manufacturing,Operations; Workflow Redesign,Scaling,"""Implementar gêmeos digitais para monitoramento de maquinário pesado e operações físicas.""",Sim,O Futuro das Operações,3,3,4
164,Risk/Legal,Financial Services,Governance/Risk; Workflow Redesign,Embedded/ Transforming,"""Garantir autenticação biométrica via face ou digital em todas as aprovações de transações.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,1,5
165,Marketing/Sales,Mídia e Dados Financeiros,Growth/Commercial; Scaling/Value,Piloting,"""Sintetizar notícias globais em newsletters matinais diárias sobre o mercado de capitais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,3
166,Technology/Data,Healthcare,Data/Tech; Agents,Piloting,"""Orquestrar agentes autônomos para triagem inicial de sintomas via aplicativo.""",Sim,O Futuro das Operações,4,5,2
167,Strategy,Technology,Strategy; Workflow Redesign,Exploring,"""Redesenhar o fluxo de trabalho de desenvolvedores integrando copilotos de código corporativo.""",Sim,O Futuro das Operações,5,null,4
168,Consultoria Estratégica,Professional Services,Workflow Redesign; Scaling/Value,Scaling,"""Acelerar a entrega de projetos de estratégia reduzindo o tempo de pesquisa de mercado.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",4,3,2
169,People/HR,Consumer/Retail,People/Talent; Governance/Risk,Piloting,"""Mitigar vieses na contratação de vendedores e gerentes de loja físicas.""",Não,Não tenho nenhum interesse em particular,2,2,5
170,Finance,Energy,Data/Tech; Scaling/Value,Exploring,"""Avaliar o impacto de volatilidade de preços em contratos de longo prazo.""",Sim,O Futuro das Operações,3,3,null
171,Operations,Financial Services,Operations; Workflow Redesign,Scaling,"""Automatizar o backoffice de aprovação e conciliação de cartões corporativos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,3,4
172,Engenharia Civil,Infraestrutura,Operations; Scaling/Value,Piloting,"""Previsão de riscos operacionais e atrasos em grandes projetos de engenharia civil.""",Sim,O Futuro das Operações,4,2,5
173,Marketing/Sales,Technology,Growth/Commercial; Agents,Embedded/ Transforming,"""Qualificação de leads B2B em tempo real através de interações multi-agentes.""",Sim,A Reinvenção do Comércio,5,4,2
174,Risk/Legal,Energy,Governance/Risk; Operations,Exploring,"""Auditoria contínua de normas ambientais e riscos legais em usinas de energia.""",Sim,O Futuro das Operações,2,1,5
175,Business Consultant,Professional Services,Strategy; Agents,Piloting,"""Estruturar pitches e propostas comerciais automatizadas baseadas no histórico de clientes.""",Sim,O Futuro das Operações,4,4,3
176,Finance,Consumer/Retail,Data/Tech; Scaling/Value,Scaling,"""Conciliação preditiva de pagamentos instantâneos no varejo de alta escala.""",Sim,A Reinvenção do Comércio,4,2,4
177,Technology/Data,Financial Services,Agents; Governance/Risk,Exploring,"""Desenvolver e testar lógicas de estratégias quantitativas utilizando modelagem de IA.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,4
178,People/HR,Healthcare,People/Talent; Workflow Redesign,Piloting,"""Planejamento de escalas médicas dinâmicas em redes hospitalares regionais.""",Não,Não tenho nenhum interesse em particular,3,2,4
179,Strategy,Industrial/Manufacturing,Strategy; Scaling/Value,Embedded/ Transforming,"""Mapeamento contínuo e otimização da cadeia de suprimentos global da corporação.""",Sim,O Futuro das Operações,5,3,3
180,Operations,Mobilidade Urbana (São Paulo),Operations; Workflow Redesign,Scaling,"""Prever gargalos em catracas e fluxo de bilhetagem digital na rede de transporte diária.""",Sim,O Futuro das Operações,4,3,4
181,Finance,Financial Services,Scaling/Value; Data/Tech,Scaling,"""Automatizar relatórios de risco de crédito com modelos preditivos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
182,Engenharia Civil,Infraestrutura,Operations; Workflow Redesign,Piloting,"""Mitigar desvios de cronograma e custos em canteiros de obras de grande porte.""",Sim,O Futuro das Operações,4,null,3
183,Risk/Legal,Healthcare,Governance/Risk; Operations,Exploring,"""Garantir a privacidade estrita de dados em análises clínicas automatizadas.""",Não,Não tenho nenhum interesse em particular,2,1,5
184,Strategy,Consumer/Retail,Growth/Commercial; Agents,Scaling,"""Escalar a recomendação de produtos com agentes conversacionais omnicanal.""",Sim,A Reinvenção do Comércio,4,4,2
185,Business Consultant,Professional Services,Strategy; People/Talent,Exploring,"""Aplicar IA generativa para acelerar a estruturação de frameworks de consultoria.""",Sim,O Futuro das Operações,5,3,null
186,Technology/Data,Technology,Data/Tech; Agents,Embedded/ Transforming,"""Gerenciar a latência e o consumo de tokens em arquiteturas de múltiplos agentes.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",4,5,2
187,People/HR,Financial Services,People/Talent; Workflow Redesign,Piloting,"""Automatizar simulações de entrevistas técnicas para analistas juniores.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,null,3
188,Operations,Energy,Operations; Data/Tech,Scaling,"""Prever falhas em redes de distribuição de energia com base em telemetria.""",Sim,O Futuro das Operações,3,4,4
189,Marketing/Sales,Mídia e Dados Financeiros,Growth/Commercial; Scaling/Value,Scaling,"""Personalizar o disparo de briefings e resumos matinais de mercado.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,3
190,Mobilidade Urbana (São Paulo),Transporte Metropolitano,Operations; Scaling/Value,Embedded/ Transforming,"""Processamento em tempo real de bilhetes digitais e QR codes nas catracas.""",Sim,O Futuro das Operações,4,3,5
191,Finance,Industrial/Manufacturing,Scaling/Value; Workflow Redesign,Piloting,"""Prever necessidades de Capex industrial com base em séries temporais.""",Sim,O Futuro das Operações,3,2,4
192,Strategy,Energy,Growth/Commercial; Scaling/Value,Exploring,"""Mapear o impacto financeiro da transição para fontes de energia limpa.""",Sim,O Futuro das Operações,4,null,3
193,Technology/Data,Financial Services,Agents; Governance/Risk,Scaling,"""Implantar guardrails em agentes de atendimento para impedir vazamento de dados.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,5
194,Risk/Legal,Professional Services,Governance/Risk; Workflow Redesign,Piloting,"""Automatizar a revisão de contratos corporativos complexos e volumosos.""",Sim,O Futuro das Operações,2,2,5
195,Organizador de Eventos,Feiras de Recrutamento,Workflow Redesign; People/Talent,Exploring,"""Otimizar o alinhamento de candidatos e empresas em rodadas de networking.""",Sim,O Futuro das Operações,5,4,null
196,Operations,Consumer/Retail,Operations; Workflow Redesign,Embedded/ Transforming,"""Gestão de estoque totalmente autônoma em armazéns de alta densidade.""",Sim,A Reinvenção do Comércio,5,5,2
197,People/HR,Healthcare,People/Talent; Governance/Risk,Exploring,"""Reduzir o esgotamento de equipes médicas com escalas inteligentes.""",Não,Não tenho nenhum interesse em particular,3,null,4
198,Strategy,Technology,Agents; Scaling/Value,Piloting,"""Orquestração segura de infraestrutura de nuvem com IA autônoma.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",3,4,3
199,Marketing/Sales,Consumer/Retail,Growth/Commercial; Agents,Scaling,"""Implantar agentes para recomendação de vitrine interativa no e-commerce.""",Sim,A Reinvenção do Comércio,null,4,2
200,Finance,Financial Services,Data/Tech; Scaling/Value,Piloting,"""Acelerar a extração de dados não estruturados para modelagem de M&A.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,5,3,null
201,Business Consultant,Professional Services,Strategy; People/Talent,Exploring,"""Desenvolver metodologias ágeis de resolução de problemas com IA.""",Sim,O Futuro das Operações,4,3,3
202,Technology/Data,Healthcare,Data/Tech; Governance/Risk,Piloting,"""Criar RAG seguro para consultas rápidas em prontuários anonimizados.""",Sim,O Futuro das Operações,4,null,5
203,Operations,Industrial/Manufacturing,Operations; Workflow Redesign,Scaling,"""Implementar manutenção preditiva avançada em linhas de montagem.""",Sim,O Futuro das Operações,3,3,4
204,Risk/Legal,Financial Services,Governance/Risk; Operations,Embedded/ Transforming,"""Monitoramento transacional antifraude em tempo real com machine learning.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,1,5
205,Strategy,Consumer/Retail,Strategy; Workflow Redesign,Scaling,"""Redesenho completo da cadeia de suprimentos e experiência omnicanal.""",Sim,A Reinvenção do Comércio,4,4,3
206,People/HR,Industrial/Manufacturing,People/Talent; Workflow Redesign,Exploring,"""Requalificar funcionários de fábricas para o uso de ferramentas de IA.""",Não,Não tenho nenhum interesse em particular,2,2,null
207,Finance,Energy,Data/Tech; Scaling/Value,Exploring,"""Avaliação de risco quantitativo em mercados voláteis de energia.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,3,4
208,Marketing/Sales,Technology,Growth/Commercial; Scaling/Value,Scaling,"""Escalar campanhas de prospecção B2B com automação avançada.""",Sim,A Reinvenção do Comércio,4,4,2
209,Engenharia Civil,Infraestrutura,Operations; Scaling/Value,Piloting,"""Análise de viabilidade e custos em projetos de engenharia civil pesada.""",Sim,O Futuro das Operações,null,2,4
210,Technology/Data,Financial Services,Agents; Data/Tech,Scaling,"""Implantar modelos preditivos para concessão automatizada de crédito.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
